state,action
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","4"
"[np.int32(7), 1]","3"
"[np.int32(3), np.int32(4)]","1"
"[np.int32(4), np.int32(4)]","1"
"[np.int32(5), np.int32(4)]","3"
"[np.int32(0), np.int32(6)]","2"
"[np.int32(0), np.int32(5)]","3"
"[np.int32(0), np.int32(6)]","2"
"[np.int32(0), np.int32(5)]","3"
"[np.int32(0), np.int32(6)]","3"
"[np.int32(0), np.int32(7)]","0"
"[0, np.int32(7)]","3"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","4"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","0"
"[0, np.int32(8)]","1"
"[1, np.int32(8)]","3"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","3"
"[1, 9]","4"
"[1, 9]","2"
"[1, 8]","3"
"[1, 9]","4"
"[1, 9]","2"
"[1, 8]","3"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","2"
"[1, 8]","3"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","1"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","4"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","0"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","3"
"[1, 9]","4"
"[1, 9]","4"
"[1, 9]","1"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","4"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","4"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","2"
"[2, 8]","1"
"[3, 8]","0"
"[2, 8]","1"
"[3, 8]","0"
"[2, 8]","1"
"[3, 8]","0"
"[2, 8]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","3"
"[2, 9]","1"
"[np.int32(5), np.int32(9)]","0"
"[np.int32(4), np.int32(9)]","2"
"[np.int32(4), np.int32(8)]","2"
"[np.int32(4), np.int32(7)]","2"
"[np.int32(4), np.int32(6)]","1"
"[np.int32(5), np.int32(6)]","2"
"[np.int32(5), np.int32(9)]","3"
"[np.int32(5), 9]","0"
"[np.int32(4), 9]","0"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","4"
"[np.int32(3), 9]","1"
"[np.int32(4), 9]","2"
"[np.int32(4), 8]","2"
"[np.int32(4), 7]","2"
"[np.int32(4), 6]","1"
"[np.int32(5), 6]","2"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","4"
"[np.int32(2), np.int32(4)]","1"
"[np.int32(3), np.int32(4)]","1"
"[np.int32(4), np.int32(4)]","1"
"[np.int32(5), np.int32(4)]","3"
"[np.int32(3), np.int32(4)]","1"
"[np.int32(4), np.int32(4)]","4"
"[np.int32(4), np.int32(4)]","1"
"[np.int32(5), np.int32(4)]","3"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","2"
"[np.int32(8), np.int32(7)]","3"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","4"
"[np.int32(8), np.int32(8)]","3"
"[np.int32(8), 9]","4"
"[np.int32(8), 9]","3"
"[np.int32(8), 9]","1"
"[9, 9]","2"
"[9, 8]","4"
"[9, 8]","1"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","4"
"[9, 8]","0"
"[8, 8]","0"
"[7, 8]","2"
"[7, 7]","2"
"[7, 6]","0"
"[6, 6]","0"
"[5, 6]","2"
"[np.int32(3), np.int32(4)]","1"
"[np.int32(7), np.int32(2)]","0"
"[np.int32(6), np.int32(2)]","3"
"[np.int32(6), np.int32(3)]","2"
"[np.int32(6), np.int32(2)]","3"
"[np.int32(6), np.int32(3)]","3"
"[np.int32(6), np.int32(4)]","0"
"[np.int32(0), np.int32(7)]","3"
"[np.int32(9), np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","1"
"[9, np.int32(2)]","3"
"[np.int32(3), np.int32(0)]","2"
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","4"
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","2"
"[np.int32(3), 0]","2"
